         1       -9.35813        3.76523        3.80820
         2       -9.11601        3.81266        3.85523
         3       -8.87554        3.86414        3.90521
         4       -8.63695        3.91930        3.95768
         5       -8.39712        3.97065        4.00731
         6       -8.15637        4.03801        4.05632
         7       -7.91065        4.08410        4.08795
         8       -7.65210        4.06936        4.08025
         9       -7.38861        4.03464        4.05827
        10       -7.14023        4.03809        4.07654
        11       -6.91015        4.11391        4.14138
        12       -6.70146        4.24817        4.25611
        13       -6.46671        4.29668        4.30230
        14       -6.21860        4.33136        4.32718
        15       -5.97322        4.37355        4.35921
        16       -5.72345        4.40083        4.37752
        17       -5.47506        4.43306        4.40061
        18       -5.22594        4.46486        4.43725
        19       -4.97467        4.48395        4.46154
        20       -4.72252        4.50185        4.48484
        21       -4.46927        4.51009        4.49846
        22       -4.21515        4.51596        4.50539
        23       -3.96013        4.51032        4.49978
        24       -3.70514        4.51073        4.50126
        25       -3.45016        4.51147        4.50319
        26       -3.18919        4.52707        4.51228
        27       -2.92839        4.54583        4.52564
        28       -2.66716        4.55932        4.52909
        29       -2.40604        4.57589        4.53775
        30       -2.13957        4.57433        4.54590
        31       -1.87422        4.56029        4.53198
        32       -1.60866        4.54655        4.51942
        33       -1.34126        4.54157        4.51915
        34       -1.10564        4.45184        4.43315
        35       -0.86424        4.38422        4.37047
        36       -0.59657        4.40093        4.37719
        37       -0.34779        4.35891        4.33987
        38       -0.10956        4.29314        4.29057
        39        0.12571        4.21850        4.23602
        40        0.35882        4.13803        4.18016
        41        0.60945        4.10753        4.14883
        42        0.85496        4.05726        4.07845
        43        1.08598        3.96311        3.99236
        44        1.32838        3.90303        3.91921
        45        1.57436        3.85620        3.84972
        46        1.82508        3.81126        3.81642
        47        2.07840        3.77855        3.78618
        48        2.33354        3.75847        3.75944
        49        2.58681        3.72558        3.72951
        50        2.85173        3.70235        3.71532
        51        3.11636        3.67628        3.70040
        52        3.38195        3.65795        3.68753
        53        3.64812        3.65422        3.67896
        54        3.91108        3.65688        3.68647
        55        4.17397        3.66456        3.69584
        56        4.43665        3.67894        3.70721
        57        4.69863        3.70222        3.72325
        58        4.93241        3.70952        3.73821
        59        5.16368        3.73687        3.76873
        60        5.39288        3.78034        3.81327
        61        5.62363        3.80369        3.84020
        62        5.86605        3.81023        3.84478
        63        6.10869        3.78401        3.82087
        64        6.35091        3.75637        3.79235
        65        6.59352        3.73320        3.76850
        66       -9.48553        3.66248        3.86549
        67       -9.24343        3.72057        3.92685
        68       -9.00230        3.77101        3.97586
        69       -8.76510        3.83084        4.03235
        70       -8.51604        3.84191        4.05014
        71       -8.27295        3.92976        4.12941
        72       -8.03184        3.99236        4.17486
